    Gore     Bush   Buchanan   Nader    Other   County
    47365    34124      263     3226      751   ALACHUA         
     2392     5610       73       53       26   BAKER           
    18850    38637      248      828      242   BAY             
     3075     5414       65       84       35   BRADFORD        
    97318   115185      570     4470      852   BREVARD         
   386561   177323      788     7101     1623   BROWAR          
     2155     2873       90       39       17   CALHOUN         
    29645    35426      182     1462      181   CHARLOTTE       
    25525    29765      270     1379      261   CITRUS          
    14632    41736      186      562      237   CLAY            
    29918    60433      122     1399      269   COLLIER         
     7047    10964       89      258      150   COLUMBIA        
   328764   289492      560     5352     1194   DADE            
     3320     4256       36      157       36   DE SOTO         
     1826     2697       29       75       39   DIXIE           
   107864   152098      652     2757     1265   DUVAL           
    40943    73017      502     1727      459   ESCAMBIA        
    13897    12613       83      435       83   FLAGLER         
     2046     2454       33       85       26   FRANKLIN        
     9735     4767       38      139       48   GADSDEN         
     1910     3300       29       97       59   GILCHRIST       
     1442     1841        9       56       17   GLADES          
     2397     3550       71       86       40   GULF            
     1722     2146       23       37       36   HAMILTON        
     2339     3765       30       75       24   HARDEE          
     3240     4747       22      103       26   HENDRY          
    32644    30646      242     1501      186   HERNANDO        
    14167    20206      127      545      104   HIGHLANDS       
   169557   180760      847     7490     1641   HILLSBOROUGH    
     2177     5011       76       94       37   HOLMES          
    19768    28635      105      950      164   INDIAN RIVER    
     6868     9138      102      138       54   JACKSON         
     3041     2478       29       76       18   JEFFERSON       
      789     1670       10       26       10   LAFAYETTE       
    36571    50010      289     1460      281   LAKE            
    73560   106141      305     3587      784   LEE             
    61425    39053      282     1932      421   LEON            
     5398     6858       67      284      117   LEVY            
     1017     1317       39       19       18   LIBERTY         
     3014     3038       29       54       27   MADISON         
    49177    57952      271     2491      330   MANATEE         
    44665    55141      563     1809      778   MARION          
    26620    33970      112     1118      193   MARTIN          
    16483    16059       47     1090      199   MONROE          
     6879    16280       90      253       79   NASSAU          
    16948    52093      267      985      387   OKALOOSA        
     4588     5057       43      131       34   OKEECHOBEE      
   140220   134517      446     3879     1063   ORANGE          
    28181    26212      145      732      387   OSCEOLA         
    69564    68582      570     3393      622   PASCO           
   200629   184823     1013    10022     1982   PINELLAS        
    75193    90180      532     2062      519   POLK            
    12102    13447      148      377      148   PUTNAM          
    12802    36274      311      724      208   ST JOHNS       
    72853    83100      305     4069      615   ST LUCIE       
    59174    75677      194     1946      643   SANTA ROSA      
    19502    39546      229     1217      252   SARASOTA        
    41559    34705      124     1368      233   SEMINOLE        
     9637    12127      114      306       77   SUMTER          
     4075     8006      108      180       72   SUWANNEE        
     2649     4056       27       59       17   TAYLOR          
     1407     2332       37       33       17   UNION           
    97063    82214      496     2903      580   VOLUSIA         
     3838     4512       46      149       42   WAKULLA         
     5642    12182      120      265      109   WALTON          
     2798     4994       88       93       48   WASHINGTON      
   268945   152846     3407     5564     1524   PALM BEACH      
