"","Name","Rank","Sport","endorsements","totalpay","salary","age","Gender"
"1","Aaron Rodgers",55,"Football",7500000,2.2e+07,14500000,31,"Male"
"2","Adam Scott",95,"Golf",9e+06,17700000,8700000,34,"Male"
"3","Adrian Gonzalez",60,"Baseball",4e+05,21500000,21100000,32,"Male"
"4","Alex Rodriguez",48,"Baseball",3e+05,22900000,22600000,39,"Male"
"5","Alfonso Soriano",93,"Baseball",50000,18050000,1.8e+07,38,"Male"
"6","Amar'e Stoudemire",27,"Basketball",5e+06,26700000,21700000,32,"Male"
"7","Barry Zito",75,"Baseball",1e+05,20400000,20300000,36,"Male"
"8","Blake Griffin",47,"Basketball",6500000,2.3e+07,16500000,25,"Male"
"9","Branden Albert",91,"Football",35000,18435000,18400000,30,"Male"
"10","Brandon Marshall",97,"Football",7e+05,17500000,16800000,30,"Male"
"11","Carl Crawford",74,"Baseball",3e+05,20500000,20200000,33,"Male"
"12","Carlos Dunlap",84,"Football",50000,18750000,18700000,25,"Male"
"13","Carmelo Anthony",24,"Basketball",8e+06,29400000,21400000,30,"Male"
"14","CC Sabathia",37,"Baseball",1200000,24200000,2.3e+07,34,"Male"
"15","Chris Paul",37,"Basketball",5500000,24200000,18700000,29,"Male"
"16","Chris Bosh",57,"Basketball",2500000,21800000,19300000,30,"Male"
"17","Cliff Lee",30,"Baseball",2e+05,25300000,25100000,36,"Male"
"18","Cole Hamels",70,"Baseball",2e+05,20700000,20500000,31,"Male"
"19","Darrelle Revis",40,"Football",8e+05,23800000,2.3e+07,29,"Male"
"20","David Ortiz",80,"Baseball",5e+06,19800000,14800000,39,"Male"
"21","Derek Jeter",35,"Baseball",9e+06,24300000,15300000,40,"Male"
"22","Deron Williams",79,"Basketball",1500000,2e+07,18500000,30,"Male"
"23","Derrick Rose",13,"Basketball",1.9e+07,36600000,17600000,26,"Male"
"24","Dirk Nowitzki",45,"Basketball",5e+05,23200000,22700000,36,"Male"
"25","Zack Greinke",33,"Baseball",50000,24450000,24400000,31,"Male"
"26","Drew Brees",66,"Football",1.1e+07,2.1e+07,1e+07,35,"Male"
"27","Dwight Howard",29,"Basketball",5e+06,25500000,20500000,29,"Male"
"28","Dwyane Wade",23,"Basketball",1.1e+07,29900000,18900000,32,"Male"
"29","Tiger Woods",6,"Golf",5.5e+07,61200000,6200000,39,"Male"
"30","Eli Manning",66,"Football",7500000,2.1e+07,13500000,33,"Male"
"31","Manny Pacquiao",11,"Boxing",8e+05,41800000,4.1e+07,36,"Male"
"32","Felix Hernandez",77,"Baseball",2e+05,20300000,20100000,28,"Male"
"33","Fernando Alonso",21,"Racing",2e+06,3.1e+07,2.9e+07,33,"Male"
"34","Fernando Torres",63,"Soccer",3500000,21300000,17800000,30,"Male"
"35","Floyd Mayweather",1,"Boxing",0,1.05e+08,1.05e+08,37,"Male"
"36","Franck Ribéry",92,"Soccer",1500000,18300000,16800000,31,"Male"
"37","Gareth Bale",14,"Soccer",1.1e+07,36400000,25400000,25,"Male"
"38","Geno Atkins",53,"Football",50000,22350000,22300000,26,"Male"
"39","Yaya Touré",59,"Soccer",2500000,21700000,19200000,31,"Male"
"40","Henrik Stenson",64,"Golf",3200000,21200000,1.8e+07,38,"Male"
"41","Jairus Byrd",94,"Football",1e+05,1.8e+07,17900000,28,"Male"
"42","Jason Peters",70,"Football",50000,20750000,20700000,32,"Male"
"43","Jayson Werth",97,"Baseball",2e+05,17500000,17300000,35,"Male"
"44","Jeff Gordon",86,"Racing",5e+06,18700000,13700000,43,"Male"
"45","Jimmie Johnson",42,"Racing",6500000,23500000,1.7e+07,39,"Male"
"46","Joe Johnson",52,"Basketball",1e+06,22500000,21500000,33,"Male"
"47","Johan Santana",48,"Baseball",4e+05,22900000,22500000,35,"Male"
"48","Matthew Stafford",18,"Football",1500000,3.3e+07,31500000,26,"Male"
"49","Albert Pujols",77,"Baseball",2e+06,20300000,18300000,34,"Male"
"50","Miguel Cabrera",32,"Baseball",2e+06,24600000,22600000,31,"Male"
"51","Joe Mauer",31,"Baseball",1800000,24800000,2.3e+07,31,"Male"
"52","Joe Haden",62,"Football",150000,21350000,21200000,25,"Male"
"53","Julius Peppers",69,"Football",4e+05,20800000,20400000,34,"Male"
"54","Justin Verlander",70,"Baseball",5e+05,20700000,20200000,31,"Male"
"55","Kevin Durant",20,"Basketball",1.4e+07,31900000,17900000,26,"Male"
"56","Kobe Bryant",5,"Basketball",3.1e+07,61500000,30500000,36,"Male"
"57","Larry Fitzgerald",89,"Football",1500000,18500000,1.7e+07,31,"Male"
"58","LeBron James",3,"Basketball",5.3e+07,72300000,19300000,30,"Male"
"59","Lewis Hamilton",19,"Racing",3e+06,3.2e+07,2.9e+07,29,"Male"
"60","Li Na",41,"Tennis",1.8e+07,23600000,5600000,32,"Female"
"61","Lionel Messi",4,"Soccer",2.3e+07,64700000,41700000,27,"Male"
"62","Luis Suárez",100,"Soccer",4e+06,17300000,13300000,27,"Male"
"63","Mahendra Singh Dhoni",22,"Cricket",2.6e+07,3e+07,4e+06,33,"Male"
"64","Maria Sharapova",34,"Tennis",2.2e+07,24400000,2400000,27,"Female"
"65","Mark Teixeira",50,"Baseball",2e+05,22700000,22500000,34,"Male"
"66","Matt Kemp",51,"Baseball",8e+05,22600000,21800000,30,"Male"
"67","Matt Ryan",10,"Football",1800000,43800000,4.2e+07,29,"Male"
"68","Matt Cain",75,"Baseball",4e+05,20400000,2e+07,30,"Male"
"69","Matt Holliday",99,"Baseball",2e+05,17400000,17200000,34,"Male"
"70","Mesut Özil",89,"Soccer",6e+06,18500000,12500000,26,"Male"
"71","Neymar",16,"Soccer",1.6e+07,33600000,17600000,22,"Male"
"72","Novak Djokovic",17,"Tennis",2.1e+07,33100000,12100000,27,"Male"
"73","Pau Gasol",57,"Basketball",2500000,21800000,19300000,34,"Male"
"74","Peyton Manning",26,"Football",1.2e+07,27100000,15100000,38,"Male"
"75","Phil Mickelson",8,"Golf",4.8e+07,53200000,5200000,44,"Male"
"76","Prince Fielder",39,"Baseball",4e+05,23900000,23500000,30,"Male"
"77","Radamel Falcao",15,"Soccer",3e+06,35400000,32400000,28,"Male"
"78","Rafael Nadal",9,"Tennis",3e+07,44500000,14500000,28,"Male"
"79","Dale Earnhardt Jr.",28,"Racing",1.1e+07,25900000,14900000,40,"Male"
"80","Robin van Persie",81,"Soccer",3e+06,19500000,16500000,31,"Male"
"81","Robinson Cano",60,"Baseball",3500000,21500000,1.8e+07,32,"Male"
"82","Roger Federer",7,"Tennis",5.2e+07,56200000,4200000,33,"Male"
"83","Rory McIlroy",35,"Golf",2e+07,24300000,4300000,25,"Male"
"84","Rudy Gay",88,"Basketball",7e+05,18600000,17900000,28,"Male"
"85","Russell Westbrook",82,"Basketball",4500000,19200000,14700000,26,"Male"
"86","Ryan Howard",53,"Baseball",7e+05,22400000,21700000,35,"Male"
"87","Canelo Alvarez",66,"Boxing",1500000,2.1e+07,19500000,24,"Male"
"88","Sebastian Vettel",83,"Racing",1e+06,1.9e+07,1.8e+07,27,"Male"
"89","Serena Williams",55,"Tennis",1.1e+07,2.2e+07,1.1e+07,33,"Female"
"90","Sergio Agüero",44,"Soccer",5e+06,23300000,18300000,26,"Male"
"91","Steven Gerrard",86,"Soccer",5500000,18700000,13200000,34,"Male"
"92","Terrell Suggs",96,"Football",2e+05,17600000,17400000,32,"Male"
"93","Tim Lincecum",73,"Baseball",250000,20550000,20300000,30,"Male"
"94","Usain Bolt",45,"Track",2.3e+07,23200000,2e+05,28,"Male"
"95","Vernon Wells",65,"Baseball",1e+05,21100000,2.1e+07,36,"Male"
"96","Wayne Rooney",43,"Soccer",5e+06,23400000,18400000,29,"Male"
