name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"13617, USA",2019-12-17,27.4,22.8,25.3,26.3,19,22.6,20.8,83.07,0.05,,29.17,,2.92,5.22,,5.5,167.4,1013.5,51,87.3,,,0,,2019-12-17T07:31:47,2019-12-17T16:21:28,0.66,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-18,25,-1.5,17.3,20,-20.5,6.4,11.8,78.8,0.02,,16.67,,2.47,7.69,30.2,15.6,262.2,1010.3,39.3,87.4,,,0,,2019-12-18T07:32:26,2019-12-18T16:21:48,0.71,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-19,5,-6,-1.5,-7.7,-22.6,-15.6,-9,70.05,0,,4.17,,0.43,8.12,19.7,13.5,258.8,1028.6,25.6,91.8,,,0,,2019-12-19T07:33:03,2019-12-19T16:22:11,0.77,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-20,11,-3.2,2.2,7.8,-15.3,-5,-3.8,75.63,0,,0,,0,7.14,,6.9,227.3,1038.7,8.6,92.5,,,0,,2019-12-20T07:33:38,2019-12-20T16:22:37,0.83,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-21,19.6,-0.3,10,18.7,-3.8,6.8,5,79.78,0,,0,,0,6.07,,6.7,57.1,1033.7,16.1,93.2,,,0,,2019-12-21T07:34:11,2019-12-21T16:23:05,0.88,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-22,40.7,12.4,28.8,33.5,4.9,23.5,23.5,80.9,0,,0,,0,4.35,25.6,15.8,182.3,1021.1,16.2,90.6,,,0,,2019-12-22T07:34:41,2019-12-22T16:23:35,0.93,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-23,45.3,33.8,39.2,38.3,27.7,32.6,31.4,73.8,0,,4.17,,0.02,3.4,30.1,18.8,242.4,1014.2,17.3,90.3,,,0,,2019-12-23T07:35:08,2019-12-23T16:24:07,0.96,Clear,Clear conditions throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-24,33.2,21.3,27.1,25.4,17.3,21.9,18,68.75,0,,0,,0,2.64,20.8,10.1,274.1,1024.4,12,91.5,,,0,,2019-12-24T07:35:34,2019-12-24T16:24:43,0.99,Clear,Clear conditions throughout the day.,clear-day,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-25,31.2,23.2,27.2,23.7,17.3,19.9,19.2,71.81,0,,0,,0.07,2.07,,9.9,66.9,1021.7,16.6,91.2,,,0,,2019-12-25T07:35:57,2019-12-25T16:25:20,1,Clear,Clear conditions throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
"13617, USA",2019-12-26,28.1,22.3,25.3,20.6,10.5,15.2,17.4,71.54,0,,0,,0.1,2.05,26.4,12.5,70.8,1025.1,24.3,91.5,,,0,,2019-12-26T07:36:17,2019-12-26T16:26:00,0,Partially cloudy,Partly cloudy throughout the day.,snow,"CXKE,KMSS,72622394725,KGTB,71161099999,71300099999"
