Term,Course,Question,Agree strongly,Agree,Agree Somewhat,Neutral,Disagree Somewhat,Disagree,Disagree Strongly
F19,113-02,1. Course has been a valuable educational experience,9,9,1,5,0,0,0
F19,113-02,2. Effectively Organized,12,8,1,2,1,0,0
F19,113-02,3. Environment Conducive to Learning,11,8,2,3,0,0,0
F19,113-02,5a. Fair Assessment of Student work,5,13,3,1,1,0,1
F19,113-02,5b. Timely Assessment of Student Work,8,12,1,2,1,0,0
F19,113-02,5c. Constructive Assessment of Student Work,5,8,4,6,1,0,0
F19,113-02,6a. Recommend Instructor to another student,11,6,4,2,1,0,0
F19,113-02,6b. Recommend Course to another student,11,7,3,1,0,2,0
F19,113-02,6c. Instructor was an effective teacher,11,6,4,2,0,0,0
F19,213-02,1. Course has been a valuable educational experience,7,13,1,0,0,0,0
F19,213-02,2. Effectively Organized,11,8,1,0,0,0,0
F19,213-02,3. Environment Conducive to Learning,8,11,2,0,0,0,0
F19,213-02,5a. Fair Assessment of Student work,10,11,0,1,0,0,0
F19,213-02,5b. Timely Assessment of Student Work,11,11,0,0,0,0,0
F19,213-02,5c. Constructive Assessment of Student Work,8,12,2,0,0,0,0
F19,213-02,6a. Recommend Instructor to another student,8,12,0,2,0,0,0
F19,213-02,6b. Recommend Course to another student,7,10,4,0,1,0,0
F19,213-02,6c. Instructor was an effective teacher,11,10,0,0,1,0,0
F19,113-04,1. Course has been a valuable educational experience,5,12,8,0,0,2,0
F19,113-04,2. Effectively Organized,10,11,1,2,1,0,0
F19,113-04,3. Environment Conducive to Learning,9,5,10,2,0,0,0
F19,113-04,5a. Fair Assessment of Student work,6,7,4,7,1,1,0
F19,113-04,5b. Timely Assessment of Student Work,6,16,4,1,0,0,0
F19,113-04,5c. Constructive Assessment of Student Work,5,8,6,6,1,0,0
F19,113-04,6a. Recommend Instructor to another student,8,7,4,3,2,0,2
F19,113-04,6b. Recommend Course to another student,6,9,4,4,1,3,0
F19,113-04,6c. Instructor was an effective teacher,9,10,3,2,2,1,0
S20,113-03,1. Course has been a valuable educational experience,9,4,1,1,0,0,0
S20,113-03,2. Effectively Organized,9,6,0,0,0,0,0
S20,113-03,3. Environment Conducive to Learning,7,6,2,0,0,0,0
S20,113-03,5a. Fair Assessment of Student work,7,5,1,1,1,0,0
S20,113-03,5b. Timely Assessment of Student Work,7,5,2,1,0,0,0
S20,113-03,5c. Constructive Assessment of Student Work,4,7,2,2,0,0,0
S20,113-03,6a. Recommend Instructor to another student,7,6,2,0,0,0,0
S20,113-03,6b. Recommend Course to another student,5,5,1,1,0,1,0
S20,113-03,6c. Instructor was an effective teacher,7,5,2,0,0,0,0
S20 ,113-07,1. Course has been a valuable educational experience,1,8,2,0,1,0,0
S20 ,113-07,2. Effectively Organized,6,8,0,0,0,0,0
S20 ,113-07,3. Environment Conducive to Learning,6,5,3,0,0,0,0
S20 ,113-07,5a. Fair Assessment of Student work,2,8,0,2,1,0,1
S20 ,113-07,5b. Timely Assessment of Student Work,5,7,0,1,0,0,1
S20 ,113-07,5c. Constructive Assessment of Student Work,3,5,2,1,0,0,3
S20 ,113-07,6a. Recommend Instructor to another student,6,5,1,1,0,0,1
S20 ,113-07,6b. Recommend Course to another student,4,5,2,1,0,0,2
S20 ,113-07,6c. Instructor was an effective teacher,6,4,1,1,0,0,1
S20,213-01,1. Course has been a valuable educational experience,12,4,0,0,0,0,0
S20,213-01,2. Effectively Organized,13,3,0,0,0,0,0
S20,213-01,3. Environment Conducive to Learning,12,2,1,0,1,0,0
S20,213-01,5a. Fair Assessment of Student work,8,6,1,0,1,0,0
S20,213-01,5b. Timely Assessment of Student Work,9,6,0,1,0,0,0
S20,213-01,5c. Constructive Assessment of Student Work,8,5,2,0,1,0,0
S20,213-01,6a. Recommend Instructor to another student,11,4,0,0,1,0,0
S20,213-01,6b. Recommend Course to another student,8,6,1,1,0,0,0
S20,213-01,6c. Instructor was an effective teacher,10,4,1,1,0,0,0
F20,113-03,1. Course has been a valuable educational experience,7,6,2,1,1,0,0
F20,113-03,2. Effectively Organized,10,5,1,1,0,0,0
F20,113-03,3. Environment Conducive to Learning,8,6,1,0,1,1,0
F20,113-03,5a. Fair Assessment of Student work,8,7,0,0,2,0,0
F20,113-03,5b. Timely Assessment of Student Work,9,7,1,0,0,0,0
F20,113-03,5c. Constructive Assessment of Student Work,8,6,1,1,1,0,0
F20,113-03,6a. Recommend Instructor to another student,8,6,1,0,0,2,0
F20,113-03,6b. Recommend Course to another student,7,6,3,0,0,1,0
F20,113-03,6c. Instructor was an effective teacher,6,6,2,0,1,1,0
F20,113-04,1. Course has been a valuable educational experience,7,7,4,0,0,0,0
F20,113-04,2. Effectively Organized,9,5,2,0,0,0,0
F20,113-04,3. Environment Conducive to Learning,10,7,0,1,0,0,0
F20,113-04,5a. Fair Assessment of Student work,7,6,2,3,0,0,0
F20,113-04,5b. Timely Assessment of Student Work,9,5,2,2,0,0,0
F20,113-04,5c. Constructive Assessment of Student Work,8,4,2,4,0,0,0
F20,113-04,6a. Recommend Instructor to another student,12,3,2,1,0,0,0
F20,113-04,6b. Recommend Course to another student,9,5,1,3,0,0,0
F20,113-04,6c. Instructor was an effective teacher,11,4,2,1,0,0,0
F20,234-01,1. Course has been a valuable educational experience,14,6,0,0,0,0,0
F20,234-01,2. Effectively Organized,17,2,1,0,0,0,0
F20,234-01,3. Environment Conducive to Learning,14,6,0,0,0,0,0
F20,234-01,5a. Fair Assessment of Student work,11,6,3,0,0,0,0
F20,234-01,5b. Timely Assessment of Student Work,17,2,1,0,0,0,0
F20,234-01,5c. Constructive Assessment of Student Work,13,5,2,0,0,0,0
F20,234-01,6a. Recommend Instructor to another student,13,7,0,0,0,0,0
F20,234-01,6b. Recommend Course to another student,14,5,0,1,0,0,0
F20,234-01,6c. Instructor was an effective teacher,14,6,0,0,0,0,0
S21,113-04,1. Course has been a valuable educational experience,8,9,3,1,0,1,1
S21,113-04,2. Effectively Organized,12,7,1,3,0,0,0
S21,113-04,3. Environment Conducive to Learning,9,7,5,1,1,0,0
S21,113-04,5a. Fair Assessment of Student work,7,11,4,1,0,0,0
S21,113-04,5b. Timely Assessment of Student Work,7,13,2,1,0,0,0
S21,113-04,5c. Constructive Assessment of Student Work,7,8,5,2,1,0,0
S21,113-04,6a. Recommend Instructor to another student,12,6,3,0,0,2,0
S21,113-04,6b. Recommend Course to another student,10,7,3,1,1,0,1
S21,113-04,6c. Instructor was an effective teacher,11,7,3,2,0,0,0
S21,113-05,1. Course has been a valuable educational experience,9,8,4,0,0,0,0
S21,113-05,2. Effectively Organized,12,7,2,0,0,0,0
S21,113-05,3. Environment Conducive to Learning,11,7,2,0,0,0,0
S21,113-05,5a. Fair Assessment of Student work,5,10,4,2,0,0,0
S21,113-05,5b. Timely Assessment of Student Work,5,8,5,3,0,0,0
S21,113-05,5c. Constructive Assessment of Student Work,4,9,5,3,0,0,0
S21,113-05,6a. Recommend Instructor to another student,10,8,2,0,0,0,0
S21,113-05,6b. Recommend Course to another student,9,8,2,2,0,0,0
S21,113-05,6c. Instructor was an effective teacher,11,6,3,0,0,0,0
S21,213-01,1. Course has been a valuable educational experience,12,7,1,0,0,1,0
S21,213-01,2. Effectively Organized,12,6,2,0,0,0,0
S21,213-01,3. Environment Conducive to Learning,13,7,0,0,0,0,0
S21,213-01,5a. Fair Assessment of Student work,8,7,5,0,0,1,0
S21,213-01,5b. Timely Assessment of Student Work,17,3,1,0,0,0,0
S21,213-01,5c. Constructive Assessment of Student Work,10,9,1,1,0,0,0
S21,213-01,6a. Recommend Instructor to another student,14,5,2,0,0,0,0
S21,213-01,6b. Recommend Course to another student,11,6,3,1,0,0,0
S21,213-01,6c. Instructor was an effective teacher,13,6,1,0,1,0,0
