FilmName	OscarYear	Duration	Rating	DirectorName	DirectorGender	OscarWinner	GenreName	Genre_Drama	Genre_Bio	CountryName	ForeignandUSA	ProductionName	ProductionCompany	BudgetRevised	Budget	DomesticBoxOffice	WorldwideRevised	WorldwideBoxOffice	DomesticPercent	LimitedOpeningWnd	LimitedTheaters	LimitedAveragePThtr	WideOpeningWkd	WideTheaters	WideTheaterAverage	WidestTheaters	Days	Rotten	Metacritic	IMDb	CriticAverage	MPrinicpalCast	FPrincipalCast	FPercentPrincipalCast	MLeadTime	FLeadTime	GuestMLeadTIme	GuestFLEadTime	MLeadPercentinFilm	FLeadPercentinFilm	GMLeadPerinFilm	GFLeadPerinFilm	M/FDifference	F/MRatio	M/FPercentMore	FHighLow	LeadTime	MorF	MaleLAA	FemaleLAA
Crash	2006	113	4	Haggis	0	1	Drama	1	0	"USA, Germany"	1	Lionsgate Films	4	6.5	6500000	54580300	98.41	98410061	0.555	NA	NA	NA	9107071	1864	4886	1905	315	75	69	7.9	74.33	1	1	0.5	14.51	9.04	NA	NA	0.128	0.08	*	*	0.048	0.625	0.377	0	14.51	0	1	1
Brokeback Mountain	2006	134	4	Lee	0	0	"Drama, Romance"	1	0	"USA, Canada"	1	Focus Features	2	14	14000000	83025853	178.06	178062759	0.466	"547,425"	5	"109,485"	5805082	683	8499	2089	133	87	87	7.7	83.67	2	1	0.33	73.16	12.47	NA	NA	0.546	0.093	*	*	0.453	0.1703	0.83	0	73.16	0	0	0
Capote	2006	114	4	Miller	0	0	"Drama, Biography, Crime"	1	1	"USA, Canada"	1	Sony Pictures Classics	9	7	7000000	28747570	49.23	49233161	0.584	"324,857"	12	"27,071"	2291075	1239	1849	1239	210	90	88	7.4	84	1	1	0.5	67.17	15.22	NA	NA	0.589	0.134	*	*	0.455	0.2275	0.773	0	67.17	0	0	0
"Good Night, and Good Luck"	2006	93	2	Clooney	0	0	Drama	1	0	"USA, UK, France, Japan"	1	Warner Independent Pictures	16	7.5	7500000	31501218	54.64	54641191	0.577	"421,446"	11	"38,313"	3066046	657	4667	929	161	93	80	7.5	82.67	2	1	0.33	39.34	7.57	NA	NA	0.423	0.081	*	*	0.342	0.1915	0.808	0	39.34	0	0	0
Munich	2006	164	4	Spielberg	0	0	"Drama, History, Thriller"	1	0	"USA, Canada, France"	1	Universal Pictures	13	70	70000000	47379090	130.36	130358911	0.363	"4,152,260"	532	"7,805"	7566075	1485	5095	1498	98	78	74	7.6	76	2	1	0.33	91.32	7.33	NA	NA	0.557	0.045	*	*	0.512	0.0808	0.92	0	91.32	0	0	0
The Departed	2007	151	4	Scorsese	0	1	"Drama, Crime, Thriller"	1	0	"USA, Hong Kong"	1	Warner Brothers Pictures	15	90	90000000	132373442	289.85	289847354	0.457	NA	NA	NA	26887467	3017	8912	3017	168	91	86	8.5	87.33	3	0	0	53.47	17.15	NA	NA	0.354	0.114	*	*	0.24	0.322	0.679	0	53.47	0	0	0
Babel	2007	143	4	Inarritu	0	0	Drama	1	0	"USA, France, Mexico"	1	Paramount Vantage	7	25	25000000	34300771	135.33	135330182	0.253	"389,351"	7	"55,622"	5558095	1251	4443	1251	154	69	69	7.5	71	1	1	0.5	18.29	25.49	NA	NA	0.128	0.178	*	*	-0.05	1.3906	-0.394	1	18.29	0	0	0
Letters from Iwo Jima	2007	141	4	Eastwood	0	0	"Drama, History, War"	1	0	USA	0	Warner Brothers Pictures	15	19	19000000	13753931	68.67	68673228	0.2	"89,097"	5	"17,819"	1696356	720	2356	781	128	91	89	7.9	86.33	1	0	0	39.57	3.25	NA	NA	0.281	0.023	*	*	0.258	0.0819	0.918	0	39.57	0	0	0
Little Miss Sunshine	2007	110	4	Dayton AND Faris	1	0	"Drama, Biography"	1	1	USA	0	Fox Searchlight Pictures	3	8	8000000	59889948	100.52	100523181	0.596	"370,782"	7	"52,969"	5610845	691	8120	1602	247	91	80	7.9	83.33	2	1	0.33	42.4	30.54	NA	NA	0.385	0.278	*	*	0.107	0.7221	0.28	1	42.4	0	0	0
The Queen	2007	103	3	Frears	0	0	"Drama, Biography"	1	1	"USA, UK, France, Italy"	1	Miramax Films	5	14.792	14791630	56425113	123.38	123384128	0.457	"122,014"	3	"40,671"	2201664	606	3633	1850	230	97	91	7.4	87.33	1	1	0.5	24.32	42.39	NA	44.48	0.236	0.412	*	0.431844	-0.176	1.7458	-0.743	1	24.32	0	0	0
No Country for Old Men	2008	122	4	Coen AND Coen	0	1	"Drama, Crime, Thriller"	1	0	USA	0	Miramax Films	5	25	25000000	74273505	171.63	171627166	0.433	"1,226,333"	28	"43,798"	7776773	860	9043	2037	154	93	91	8.1	88.33	3	0	0	34.39	6.54	NA	NA	0.282	0.054	*	*	0.228	0.1915	0.81	0	34.39	0	0	0
Atonement	2008	123	4	Wright	0	0	"Drama, Mystery, Romance"	1	0	"USA, UK, France"	1	Focus Features	2	30	30000000	50921738	129.27	129266061	0.394	"784,145"	32	"24,505"	4221866	950	4444	1400	126	83	85	7.8	82	1	2	0.67	40.4	26.11	NA	NA	0.328	0.212	*	*	0.116	0.6463	0.354	1	40.4	0	0	0
Juno	2008	96	3	Reitman	0	0	"Drama, Comedy, Romance"	1	0	USA	0	Fox Searchlight Pictures	3	7.5	7500000	143492840	231.41	231411584	0.62	"413,869"	7	"59,124"	10634576	1019	10436	2534	198	94	81	7.5	83.33	1	2	0.67	16.53	63.19	NA	NA	0.172	0.658	*	*	-0.486	3.8256	-2.823	1	16.53	0	0	0
Michael Clayton	2008	119	4	Gilroy	0	0	"Drama, Crime, Mystery"	1	0	USA	0	Warner Brothers Pictures	15	25	25000000	49024969	92.99	92991835	0.527	"719,910"	15	"47,994"	10373422	2511	4131	2585	168	90	82	7.3	81.67	2	1	0.33	65.52	14.41	NA	NA	0.551	0.121	*	*	0.43	0.2196	0.78	0	65.52	0	0	0
There Will Be Blood	2008	158	4	Anderson	0	0	Drama	1	0	USA	0	Paramount Vantage	7	25	25000000	40218903	76.18	76181545	0.528	"190,739"	2	"95,370"	4869383	885	5502	1620	128	91	92	8.1	88	2	0	0	106.07	4.44	NA	NA	0.671	0.028	*	*	0.643	0.0417	0.958	0	106.07	0	0	0
Slumdog Millionaire	2009	120	4	Boyle AND Tandan	1	1	"Drama, Romance"	1	0	"USA, UK"	1	Fox Searchlight Pictures	3	15	15000000	141319195	377.91	377910544	0.374	"360,018"	10	"36,002"	4301870	614	7006	2943	198	92	86	8	86	1	1	0.5	38.19	10.12	NA	10.16	0.318	0.084	*	0.08467	0.234	0.2642	0.735	0	38.19	0	0	0
The Curious Case of Benjamin Button	2009	166	3	Fincher 	0	0	"Drama, Fantasy, Romance"	1	0	USA	0	Paramount Pictures	6	150	150000000	127490802	333.93	333932083	0.382	NA	NA	NA	26853816	2988	8987	2988	120	72	70	7.8	73.33	1	1	0.5	73.14	42.28	NA	NA	0.441	0.255	*	*	0.186	0.5782	0.422	1	73.14	0	0	0
Frost/Nixon	2009	122	4	Howard	0	0	"Drama, History"	1	0	"USA, UK, France"	1	Universal Pictures	13	35	35000000	18593156	27.43	27426335	0.678	"180,708"	3	"60,236"	3022250	1099	2750	1105	112	92	80	7.7	83	3	0	0	55.48	10.12	NA	NA	0.455	0.083	*	*	0.372	0.1824	0.818	0	55.48	0	0	0
Milk	2009	128	4	Van Sant	0	0	"Drama, Biography, History"	1	1	USA	0	Focus Features	2	20	20000000	31838002	54.59	54586584	0.583	"1,453,844"	36	"40,385"	1481155	882	1679	882	142	94	84	7.6	84.67	3	0	0	75.49	6.39	NA	6.35	0.59	0.05	*	0.0496	0.54	0.0847	0.915	0	75.49	0	0	0
The Reader	2009	124	4	Daldry	0	0	"Drama, Romance"	1	0	"USA, Germany"	1	The Weinstein Company	17	32	32000000	34180954	108.9	108901967	0.314	"168,051"	8	"21,006"	2380376	1002	2376	1203	156	61	58	7.6	65	2	1	0.33	49.15	37.25	NA	NA	0.396	0.3	*	*	0.096	0.7576	0.242	1	49.15	0	0	0
The Hurt Locker	2010	131	4	Bigelow	1	1	"Drama, History, Thriller"	1	0	USA	0	Summit Entertainment	10	15	15000000	17017811	49.23	49230772	0.346	NA	NA	NA	145352	4	36338	535	*	98	94	7.6	89.33	3	0	0	61.42	0.37	NA	NA	0.469	0.003	*	*	0.466	0.0064	0.994	0	61.42	0	0	0
Avatar	2010	162	3	Cameron	0	0	"Action, Adventure, Fantasy"	0	0	"USA, UK"	1	Twentieth Century Fox	12	237	237000000	760505847	2787.97	2787965087	0.273	NA	NA	NA	77025481	3452	22313	3461	238	83	83	7.9	81.67	1	2	0.67	85.16	37.33	NA	NA	0.526	0.23	*	*	0.296	0.4373	0.562	1	85.16	0	0	1
The Blind Side	2010	129	3	Lee Hancock	0	0	"Drama, Biography, Sport"	1	1	USA	0	Warner Brothers Pictures	15	29	29000000	255950375	309.21	309208309	0.828	NA	NA	NA	34119372	3110	10971	3407	196	66	53	7.7	65.33	2	1	0.33	48.36	43.31	NA	41.53	0.375	0.336	*	0.321	0.039	0.896	0.104	1	48.36	0	1	0
District 9	2010	112	4	Blomkamp	0	0	"Action, Science Fiction"	0	0	"USA, Canada, New Zealand, South Africa"	1	Tristar Pictures	11	30	30000000	115646235	210.82	210819611	0.549	NA	NA	NA	37354308	3049	12251	3180	84	90	81	8	83.67	2	0	0	48.28	2.38	NA	NA	0.431	0.021	*	*	0.41	0.0487	0.951	0	48.28	0	0	0
An Education	2010	100	3	Scherfig	1	0	Drama	1	0	"USA, UK"	1	Sony Pictures Classics	9	6.794	6794257	12574715	26.1	26096852	0.482	"159,017"	4	"39,754"	763234	761	1003	763	210	94	85	7.3	84	2	1	0.33	34.54	66.46	NA	NA	0.345	0.665	*	*	-0.32	1.9275	-0.924	1	34.54	0	0	0
Inglourious Basterds	2010	153	4	Tarantino	0	0	"Drama, Adventure, War"	1	0	"USA, Germany"	1	The Weinstein Company	17	75	75000000	120523073	321.46	321455689	0.375	NA	NA	NA	38054676	3165	12024	3358	119	89	69	8.3	80.33	2	1	0.33	35.17	21.43	NA	NA	0.23	0.14	*	*	0.09	0.6087	0.391	0	35.17	0	0	0
