Month,pickleball
2004-01,3
2004-02,4
2004-03,6
2004-04,0
2004-05,1
2004-06,2
2004-07,0
2004-08,2
2004-09,0
2004-10,3
2004-11,4
2004-12,3
2005-01,0
2005-02,2
2005-03,2
2005-04,7
2005-05,3
2005-06,1
2005-07,1
2005-08,2
2005-09,2
2005-10,0
2005-11,1
2005-12,1
2006-01,2
2006-02,2
2006-03,5
2006-04,2
2006-05,3
2006-06,3
2006-07,3
2006-08,2
2006-09,<1
2006-10,1
2006-11,2
2006-12,2
2007-01,4
2007-02,2
2007-03,3
2007-04,3
2007-05,2
2007-06,1
2007-07,2
2007-08,2
2007-09,2
2007-10,3
2007-11,4
2007-12,2
2008-01,3
2008-02,5
2008-03,2
2008-04,3
2008-05,2
2008-06,2
2008-07,3
2008-08,2
2008-09,3
2008-10,3
2008-11,3
2008-12,3
2009-01,4
2009-02,3
2009-03,4
2009-04,4
2009-05,4
2009-06,3
2009-07,3
2009-08,4
2009-09,3
2009-10,3
2009-11,3
2009-12,3
2010-01,3
2010-02,5
2010-03,5
2010-04,4
2010-05,4
2010-06,5
2010-07,4
2010-08,4
2010-09,3
2010-10,4
2010-11,4
2010-12,5
2011-01,4
2011-02,6
2011-03,4
2011-04,6
2011-05,5
2011-06,6
2011-07,5
2011-08,5
2011-09,5
2011-10,5
2011-11,5
2011-12,5
2012-01,7
2012-02,7
2012-03,7
2012-04,7
2012-05,6
2012-06,8
2012-07,7
2012-08,7
2012-09,6
2012-10,5
2012-11,7
2012-12,7
2013-01,8
2013-02,8
2013-03,9
2013-04,8
2013-05,9
2013-06,10
2013-07,11
2013-08,8
2013-09,8
2013-10,10
2013-11,10
2013-12,8
2014-01,11
2014-02,11
2014-03,20
2014-04,14
2014-05,12
2014-06,13
2014-07,15
2014-08,15
2014-09,10
2014-10,12
2014-11,14
2014-12,15
2015-01,16
2015-02,19
2015-03,17
2015-04,17
2015-05,18
2015-06,18
2015-07,22
2015-08,20
2015-09,20
2015-10,17
2015-11,17
2015-12,18
2016-01,18
2016-02,21
2016-03,18
2016-04,23
2016-05,23
2016-06,23
2016-07,25
2016-08,24
2016-09,23
2016-10,19
2016-11,19
2016-12,22
2017-01,26
2017-02,27
2017-03,29
2017-04,27
2017-05,29
2017-06,31
2017-07,31
2017-08,30
2017-09,27
2017-10,28
2017-11,31
2017-12,30
2018-01,31
2018-02,35
2018-03,38
2018-04,40
2018-05,35
2018-06,44
2018-07,47
2018-08,39
2018-09,36
2018-10,35
2018-11,40
2018-12,37
2019-01,44
2019-02,45
2019-03,49
2019-04,45
2019-05,49
2019-06,54
2019-07,53
2019-08,53
2019-09,46
2019-10,42
2019-11,50
2019-12,45
2020-01,53
2020-02,56
2020-03,43
2020-04,30
2020-05,41
2020-06,49
2020-07,51
2020-08,54
2020-09,57
2020-10,56
2020-11,50
2020-12,50
2021-01,53
2021-02,57
2021-03,70
2021-04,85
2021-05,87
2021-06,91
2021-07,100
2021-08,99
2021-09,91
2021-10,87
