"","Name","Type","HP","Attack","Defense","Speed","SpAtk","SpDef","Generation","Legendary","height","weight","base_experience"
"1","Bulbasaur","Grass",45,49,49,45,65,65,1,FALSE,7,69,64
"2","Ivysaur","Grass",60,62,63,60,80,80,1,FALSE,10,130,142
"3","Venusaur","Grass",80,82,83,80,100,100,1,FALSE,20,1000,236
"4","Charmander","Fire",39,52,43,65,60,50,1,FALSE,6,85,62
"5","Charmeleon","Fire",58,64,58,80,80,65,1,FALSE,11,190,142
"6","Charizard","Fire",78,84,78,100,109,85,1,FALSE,17,905,240
"7","Squirtle","Water",44,48,65,43,50,64,1,FALSE,5,90,63
"8","Wartortle","Water",59,63,80,58,65,80,1,FALSE,10,225,142
"9","Blastoise","Water",79,83,100,78,85,105,1,FALSE,16,855,239
"10","Caterpie","Bug",45,30,35,45,20,20,1,FALSE,3,29,39
"11","Metapod","Bug",50,20,55,30,25,25,1,FALSE,7,99,72
"12","Butterfree","Bug",60,45,50,70,90,80,1,FALSE,11,320,178
"13","Weedle","Bug",40,35,30,50,20,20,1,FALSE,3,32,39
"14","Kakuna","Bug",45,25,50,35,25,25,1,FALSE,6,100,72
"15","Beedrill","Bug",65,90,40,75,45,80,1,FALSE,10,295,178
"16","Pidgey","Normal",40,45,40,56,35,35,1,FALSE,3,18,50
"17","Pidgeotto","Normal",63,60,55,71,50,50,1,FALSE,11,300,122
"18","Pidgeot","Normal",83,80,75,101,70,70,1,FALSE,15,395,216
"19","Rattata","Normal",30,56,35,72,25,35,1,FALSE,3,35,51
"20","Raticate","Normal",55,81,60,97,50,70,1,FALSE,7,185,145
"21","Spearow","Normal",40,60,30,70,31,31,1,FALSE,3,20,52
"22","Fearow","Normal",65,90,65,100,61,61,1,FALSE,12,380,155
"23","Ekans","Poison",35,60,44,55,40,54,1,FALSE,20,69,58
"24","Arbok","Poison",60,85,69,80,65,79,1,FALSE,35,650,157
"25","Pikachu","Electric",35,55,40,90,50,50,1,FALSE,4,60,112
"26","Raichu","Electric",60,90,55,110,90,80,1,FALSE,8,300,218
"27","Sandshrew","Ground",50,75,85,40,20,30,1,FALSE,6,120,60
"28","Sandslash","Ground",75,100,110,65,45,55,1,FALSE,10,295,158
"29","Nidoran♀","Poison",55,47,52,41,40,40,1,FALSE,4,70,55
"30","Nidorina","Poison",70,62,67,56,55,55,1,FALSE,8,200,128
"31","Nidoqueen","Poison",90,92,87,76,75,85,1,FALSE,13,600,227
"32","Nidoran♂","Poison",46,57,40,50,40,40,1,FALSE,5,90,55
"33","Nidorino","Poison",61,72,57,65,55,55,1,FALSE,9,195,128
"34","Nidoking","Poison",81,102,77,85,85,75,1,FALSE,14,620,227
"35","Clefairy","Fairy",70,45,48,35,60,65,1,FALSE,6,75,113
"36","Clefable","Fairy",95,70,73,60,95,90,1,FALSE,13,400,217
"37","Vulpix","Fire",38,41,40,65,50,65,1,FALSE,6,99,60
"38","Ninetales","Fire",73,76,75,100,81,100,1,FALSE,11,199,177
"39","Jigglypuff","Normal",115,45,20,20,45,25,1,FALSE,5,55,95
"40","Wigglytuff","Normal",140,70,45,45,85,50,1,FALSE,10,120,196
"41","Zubat","Poison",40,45,35,55,30,40,1,FALSE,8,75,49
"42","Golbat","Poison",75,80,70,90,65,75,1,FALSE,16,550,159
"43","Oddish","Grass",45,50,55,30,75,65,1,FALSE,5,54,64
"44","Gloom","Grass",60,65,70,40,85,75,1,FALSE,8,86,138
"45","Vileplume","Grass",75,80,85,50,110,90,1,FALSE,12,186,221
"46","Paras","Bug",35,70,55,25,45,55,1,FALSE,3,54,57
"47","Parasect","Bug",60,95,80,30,60,80,1,FALSE,10,295,142
"48","Venonat","Bug",60,55,50,45,40,55,1,FALSE,10,300,61
"49","Venomoth","Bug",70,65,60,90,90,75,1,FALSE,15,125,158
"50","Diglett","Ground",10,55,25,95,35,45,1,FALSE,2,8,53
"51","Dugtrio","Ground",35,80,50,120,50,70,1,FALSE,7,333,149
"52","Meowth","Normal",40,45,35,90,40,40,1,FALSE,4,42,58
"53","Persian","Normal",65,70,60,115,65,65,1,FALSE,10,320,154
"54","Psyduck","Water",50,52,48,55,65,50,1,FALSE,8,196,64
"55","Golduck","Water",80,82,78,85,95,80,1,FALSE,17,766,175
"56","Mankey","Fighting",40,80,35,70,35,45,1,FALSE,5,280,61
"57","Primeape","Fighting",65,105,60,95,60,70,1,FALSE,10,320,159
"58","Growlithe","Fire",55,70,45,60,70,50,1,FALSE,7,190,70
"59","Arcanine","Fire",90,110,80,95,100,80,1,FALSE,19,1550,194
"60","Poliwag","Water",40,50,40,90,40,40,1,FALSE,6,124,60
"61","Poliwhirl","Water",65,65,65,90,50,50,1,FALSE,10,200,135
"62","Poliwrath","Water",90,95,95,70,70,90,1,FALSE,13,540,230
"63","Abra","Psychic",25,20,15,90,105,55,1,FALSE,9,195,62
"64","Kadabra","Psychic",40,35,30,105,120,70,1,FALSE,13,565,140
"65","Alakazam","Psychic",55,50,45,120,135,95,1,FALSE,15,480,225
"66","Machop","Fighting",70,80,50,35,35,35,1,FALSE,8,195,61
"67","Machoke","Fighting",80,100,70,45,50,60,1,FALSE,15,705,142
"68","Machamp","Fighting",90,130,80,55,65,85,1,FALSE,16,1300,227
"69","Bellsprout","Grass",50,75,35,40,70,30,1,FALSE,7,40,60
"70","Weepinbell","Grass",65,90,50,55,85,45,1,FALSE,10,64,137
"71","Victreebel","Grass",80,105,65,70,100,70,1,FALSE,17,155,221
"72","Tentacool","Water",40,40,35,70,50,100,1,FALSE,9,455,67
"73","Tentacruel","Water",80,70,65,100,80,120,1,FALSE,16,550,180
"74","Geodude","Rock",40,80,100,20,30,30,1,FALSE,4,200,60
"75","Graveler","Rock",55,95,115,35,45,45,1,FALSE,10,1050,137
"76","Golem","Rock",80,120,130,45,55,65,1,FALSE,14,3000,223
"77","Ponyta","Fire",50,85,55,90,65,65,1,FALSE,10,300,82
"78","Rapidash","Fire",65,100,70,105,80,80,1,FALSE,17,950,175
"79","Slowpoke","Water",90,65,65,15,40,40,1,FALSE,12,360,63
"80","Slowbro","Water",95,75,110,30,100,80,1,FALSE,16,785,172
"81","Magnemite","Electric",25,35,70,45,95,55,1,FALSE,3,60,65
"82","Magneton","Electric",50,60,95,70,120,70,1,FALSE,10,600,163
