Month,super_smash,animal_crossing
2004-01,2,2
2004-02,1,2
2004-03,2,1
2004-04,1,1
2004-05,2,1
2004-06,2,2
2004-07,2,2
2004-08,2,2
2004-09,1,1
2004-10,1,1
2004-11,1,1
2004-12,2,2
2005-01,1,2
2005-02,1,1
2005-03,1,1
2005-04,1,1
2005-05,1,1
2005-06,2,2
2005-07,2,2
2005-08,2,2
2005-09,2,1
2005-10,2,1
2005-11,2,2
2005-12,2,5
2006-01,2,5
2006-02,2,3
2006-03,2,3
2006-04,2,3
2006-05,5,2
2006-06,4,3
2006-07,4,4
2006-08,3,3
2006-09,3,2
2006-10,3,2
2006-11,4,2
2006-12,4,2
2007-01,3,2
2007-02,3,2
2007-03,3,2
2007-04,3,2
2007-05,5,1
2007-06,6,2
2007-07,7,3
2007-08,9,3
2007-09,8,2
2007-10,10,1
2007-11,10,2
2007-12,9,2
2008-01,11,2
2008-02,14,2
2008-03,25,2
2008-04,9,2
2008-05,5,1
2008-06,5,2
2008-07,5,3
2008-08,4,2
2008-09,3,1
2008-10,3,1
2008-11,3,5
2008-12,4,6
2009-01,3,5
2009-02,3,3
2009-03,3,3
2009-04,3,2
2009-05,3,2
2009-06,3,3
2009-07,3,3
2009-08,3,3
2009-09,3,1
2009-10,3,1
2009-11,3,1
2009-12,3,2
2010-01,3,2
2010-02,3,1
2010-03,2,1
2010-04,2,1
2010-05,3,1
2010-06,3,2
2010-07,3,2
2010-08,3,2
2010-09,2,1
2010-10,2,1
2010-11,2,1
2010-12,2,1
2011-01,3,1
2011-02,3,1
2011-03,2,1
2011-04,2,1
2011-05,3,1
2011-06,3,2
2011-07,3,2
2011-08,3,2
2011-09,2,1
2011-10,2,1
2011-11,2,1
2011-12,3,1
2012-01,3,1
2012-02,3,1
2012-03,3,1
2012-04,3,1
2012-05,3,1
2012-06,3,2
2012-07,3,2
2012-08,3,1
2012-09,3,1
2012-10,2,1
2012-11,2,1
2012-12,3,1
2013-01,3,1
2013-02,2,1
2013-03,3,1
2013-04,2,1
2013-05,3,2
2013-06,6,16
2013-07,4,13
2013-08,4,8
2013-09,3,5
2013-10,3,3
2013-11,3,3
2013-12,4,5
2014-01,4,5
2014-02,4,3
2014-03,4,3
2014-04,6,3
2014-05,5,3
2014-06,7,4
2014-07,6,4
2014-08,6,3
2014-09,9,2
2014-10,9,2
2014-11,9,2
2014-12,8,3
2015-01,5,2
2015-02,4,2
2015-03,4,2
2015-04,5,3
2015-05,4,2
2015-06,5,3
2015-07,4,3
2015-08,4,2
2015-09,4,3
2015-10,4,2
2015-11,4,2
2015-12,5,3
2016-01,3,2
2016-02,3,2
2016-03,3,2
2016-04,3,2
2016-05,3,2
2016-06,2,2
2016-07,2,2
2016-08,2,2
2016-09,2,1
2016-10,3,1
2016-11,3,3
2016-12,3,2
2017-01,3,2
2017-02,3,1
2017-03,3,2
2017-04,3,2
2017-05,3,2
2017-06,2,2
2017-07,2,2
2017-08,2,2
2017-09,2,1
2017-10,3,2
2017-11,2,5
2017-12,3,4
2018-01,2,2
2018-02,2,1
2018-03,4,1
2018-04,3,1
2018-05,3,1
2018-06,5,2
2018-07,2,2
2018-08,4,1
2018-09,4,2
2018-10,4,1
2018-11,7,1
2018-12,15,2
2019-01,7,2
2019-02,5,2
2019-03,4,2
2019-04,4,2
2019-05,4,2
2019-06,3,3
2019-07,2,2
2019-08,3,2
2019-09,3,2
2019-10,3,1
2019-11,3,2
2019-12,4,2
2020-01,4,3
2020-02,3,8
2020-03,3,63
2020-04,2,100
2020-05,2,72
2020-06,2,40
2020-07,2,32
2020-08,2,20
2020-09,2,16
2020-10,3,15
2020-11,2,18
