time_both,time_semester,time_year,Smoke,GPA,Tattoo,Facebook
S06,S,06,Occasionally,3.2,NA,NA
S06,S,06,No,2.5,NA,NA
S06,S,06,No,3.25,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,No,3.2,NA,NA
S06,S,06,No,2.9,NA,NA
S06,S,06,No,3.17,NA,NA
S06,S,06,No,2.5,NA,NA
S06,S,06,No,2.5,NA,NA
S06,S,06,No,3.21,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,No,3,NA,NA
S06,S,06,No,3.25,NA,NA
S06,S,06,No,3,NA,NA
S06,S,06,No,3,NA,NA
S06,S,06,No,2,NA,NA
S06,S,06,No,3.6,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,No,3.3,NA,NA
S06,S,06,No,2.5,NA,NA
S06,S,06,No,2.7,NA,NA
S06,S,06,No,3.3,NA,NA
S06,S,06,No,3.5,NA,NA
S06,S,06,No,2.9,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,No,3.2,NA,NA
S06,S,06,No,3.2,NA,NA
S06,S,06,No,3.12,NA,NA
S06,S,06,No,3.5,NA,NA
S06,S,06,No,2.97,NA,NA
S06,S,06,No,3.2,NA,NA
S06,S,06,No,3.46,NA,NA
S06,S,06,No,2.4,NA,NA
S06,S,06,No,2.87,NA,NA
S06,S,06,No,NA,NA,NA
S06,S,06,No,3,NA,NA
S06,S,06,No,3.34,NA,NA
S06,S,06,No,3.25,NA,NA
S06,S,06,No,3.7,NA,NA
S06,S,06,No,3.85,NA,NA
S06,S,06,No,3.33,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,No,3.62,NA,NA
S06,S,06,No,3.85,NA,NA
S06,S,06,No,2.7,NA,NA
S06,S,06,No,2.75,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,No,3.75,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,Occasionally,3,NA,NA
S06,S,06,No,3.22,NA,NA
S06,S,06,No,3.67,NA,NA
S06,S,06,No,3.5,NA,NA
S06,S,06,No,2.6,NA,NA
S06,S,06,No,3.55,NA,NA
S06,S,06,No,3.45,NA,NA
S06,S,06,No,3.2,NA,NA
S06,S,06,No,2.64,NA,NA
S06,S,06,No,3.58,NA,NA
S06,S,06,No,3.7,NA,NA
S06,S,06,No,3,NA,NA
S06,S,06,No,3.64,NA,NA
S06,S,06,No,3.33,NA,NA
S06,S,06,Occasionally,3.6,NA,NA
S06,S,06,No,2.8,NA,NA
S06,S,06,Regular,2.95,NA,NA
S06,S,06,No,3.3,NA,NA
S06,S,06,No,3.78,NA,NA
S06,S,06,No,3.71,NA,NA
S06,S,06,No,3.75,NA,NA
S06,S,06,No,3.61,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,No,3.2,NA,NA
S06,S,06,Occasionally,2.7,NA,NA
S06,S,06,No,3.14,NA,NA
S06,S,06,No,3.2,NA,NA
S06,S,06,No,3.5,NA,NA
S06,S,06,No,3.55,NA,NA
S06,S,06,Occasionally,2.8,NA,NA
S06,S,06,Regular,3.32,NA,NA
S06,S,06,No,2.68,NA,NA
S06,S,06,Occasionally,2.8,NA,NA
S06,S,06,Occasionally,2.58,NA,NA
S06,S,06,No,NA,NA,NA
S06,S,06,No,3.5,NA,NA
S06,S,06,No,3.5,NA,NA
S06,S,06,No,3.25,NA,NA
S06,S,06,Occasionally,2.8,NA,NA
S06,S,06,Occasionally,3.5,NA,NA
S06,S,06,No,3.1,NA,NA
S06,S,06,No,3,NA,NA
S06,S,06,No,3,NA,NA
S06,S,06,Regular,3.25,NA,NA
S06,S,06,No,2.7,NA,NA
S06,S,06,No,2.8,NA,NA
S06,S,06,Regular,2.82,NA,NA
S06,S,06,No,3.48,NA,NA
S06,S,06,Occasionally,2.5,NA,NA
S06,S,06,Regular,2,NA,NA
S06,S,06,No,2.6,NA,NA
S06,S,06,No,2.3,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,No,2.97,NA,NA
S06,S,06,Occasionally,3.4,NA,NA
S06,S,06,No,3.74,NA,NA
S06,S,06,No,3.2,NA,NA
S06,S,06,Occasionally,2.5,NA,NA
S06,S,06,No,3.2,NA,NA
S06,S,06,No,3.3,NA,NA
S06,S,06,No,3,NA,NA
S06,S,06,No,2.85,NA,NA
S06,S,06,No,3,NA,NA
S06,S,06,No,3.62,NA,NA
S06,S,06,No,2.8,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,No,3.34,NA,NA
S06,S,06,No,2.6,NA,NA
S06,S,06,No,3.31,NA,NA
S06,S,06,No,3.3,NA,NA
S06,S,06,Occasionally,2.7,NA,NA
S06,S,06,No,3.15,NA,NA
S06,S,06,Occasionally,3.43,NA,NA
S06,S,06,No,3.2,NA,NA
S06,S,06,No,2.8,NA,NA
S06,S,06,No,3.5,NA,NA
S06,S,06,Occasionally,2.98,NA,NA
S06,S,06,No,3.1,NA,NA
S06,S,06,Regular,2.8,NA,NA
S06,S,06,Regular,3.5,NA,NA
S06,S,06,No,3.48,NA,NA
S06,S,06,No,3.4,NA,NA
S06,S,06,Regular,3.3,NA,NA
S06,S,06,No,2.1,NA,NA
S06,S,06,No,3,NA,NA
S06,S,06,No,2.3,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,2.8,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,Occasionally,3.2,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.07,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.5,NA,NA
F06,F,06,No,3.1,NA,NA
F06,F,06,Regular,3.25,NA,NA
F06,F,06,No,3.1,NA,NA
F06,F,06,No,3.6,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.6,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3,NA,NA
F06,F,06,Regular,3.29,NA,NA
F06,F,06,No,3.75,NA,NA
F06,F,06,No,3.78,NA,NA
F06,F,06,No,3.3,NA,NA
F06,F,06,No,3.45,NA,NA
F06,F,06,No,2.7,NA,NA
F06,F,06,No,3.1,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.87,NA,NA
F06,F,06,No,3.3,NA,NA
F06,F,06,No,2.9,NA,NA
F06,F,06,Occasionally,3.3,NA,NA
F06,F,06,No,3,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.4,NA,NA
F06,F,06,No,3.75,NA,NA
F06,F,06,No,3.5,NA,NA
F06,F,06,No,3.88,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.2,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.48,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,Regular,2.9,NA,NA
F06,F,06,No,3.25,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,Occasionally,3,NA,NA
F06,F,06,Regular,3.5,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3,NA,NA
F06,F,06,No,3.4,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,Occasionally,3.5,NA,NA
F06,F,06,No,2.75,NA,NA
F06,F,06,No,3.9,NA,NA
F06,F,06,No,3.56,NA,NA
F06,F,06,No,3.7,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.3,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,2.9,NA,NA
F06,F,06,No,3.56,NA,NA
F06,F,06,No,3.35,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,2.5,NA,NA
F06,F,06,Occasionally,NA,NA,NA
F06,F,06,Occasionally,2.6,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.5,NA,NA
F06,F,06,No,3.47,NA,NA
F06,F,06,No,3.25,NA,NA
F06,F,06,No,3.4,NA,NA
F06,F,06,No,3.78,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.4,NA,NA
F06,F,06,No,3,NA,NA
F06,F,06,No,2.65,NA,NA
F06,F,06,No,3.5,NA,NA
F06,F,06,No,3.33,NA,NA
F06,F,06,No,2.97,NA,NA
F06,F,06,No,3.9,NA,NA
F06,F,06,No,3.4,NA,NA
F06,F,06,No,2.9,NA,NA
F06,F,06,No,2.9,NA,NA
F06,F,06,No,2.9,NA,NA
F06,F,06,No,3,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,2.89,NA,NA
F06,F,06,No,3.5,NA,NA
F06,F,06,Regular,2.9,NA,NA
F06,F,06,No,3.2,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,Occasionally,3.3,NA,NA
F06,F,06,No,3.2,NA,NA
F06,F,06,No,3,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,NA,NA,NA,NA
F06,F,06,No,3.4,NA,NA
F06,F,06,No,3.15,NA,NA
F06,F,06,Occasionally,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,Occasionally,3.25,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,3.1,NA,NA
F06,F,06,Occasionally,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,Occasionally,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,NA,NA,NA
F06,F,06,No,2.9,NA,NA
F06,F,06,No,NA,NA,NA
S07,S,07,No,3.25,NA,NA
S07,S,07,No,2.82,NA,NA
S07,S,07,No,3.27,NA,NA
S07,S,07,No,3.57,NA,NA
S07,S,07,No,3.3,NA,NA
S07,S,07,No,2.5,NA,NA
S07,S,07,No,3.5,NA,NA
S07,S,07,No,3.33,NA,NA
S07,S,07,No,3.3,NA,NA
S07,S,07,No,2.4,NA,NA
S07,S,07,No,NA,NA,NA
S07,S,07,No,3,NA,NA
S07,S,07,No,3.51,NA,NA
S07,S,07,No,3.89,NA,NA
S07,S,07,No,3.88,NA,NA
S07,S,07,No,2.8,NA,NA
S07,S,07,No,3.6,NA,NA
S07,S,07,No,3.1,NA,NA
S07,S,07,No,3.4,NA,NA
S07,S,07,No,3.5,NA,NA
S07,S,07,No,3,NA,NA
S07,S,07,No,3.4,NA,NA
S07,S,07,No,3.6,NA,NA
S07,S,07,No,2.8,NA,NA
