Day,Steelers
8/4/20,3
8/5/20,3
8/6/20,2
8/7/20,3
8/8/20,3
8/9/20,3
8/10/20,3
8/11/20,3
8/12/20,4
8/13/20,3
8/14/20,4
8/15/20,4
8/16/20,3
8/17/20,4
8/18/20,3
8/19/20,2
8/20/20,3
8/21/20,3
8/22/20,4
8/23/20,5
8/24/20,4
8/25/20,4
8/26/20,4
8/27/20,3
8/28/20,4
8/29/20,5
8/30/20,4
8/31/20,5
9/1/20,5
9/2/20,4
9/3/20,4
9/4/20,4
9/5/20,8
9/6/20,9
9/7/20,9
9/8/20,7
9/9/20,6
9/10/20,8
9/11/20,9
9/12/20,8
9/13/20,19
9/14/20,29
9/15/20,50
9/16/20,10
9/17/20,8
9/18/20,9
9/19/20,9
9/20/20,58
9/21/20,15
9/22/20,9
9/23/20,8
9/24/20,7
9/25/20,8
9/26/20,9
9/27/20,62
9/28/20,16
9/29/20,13
9/30/20,11
10/1/20,12
10/2/20,8
10/3/20,8
10/4/20,20
10/5/20,12
10/6/20,9
10/7/20,8
10/8/20,7
10/9/20,8
10/10/20,8
10/11/20,73
10/12/20,21
10/13/20,10
10/14/20,13
10/15/20,10
10/16/20,9
10/17/20,10
10/18/20,75
10/19/20,21
10/20/20,13
10/21/20,11
10/22/20,10
10/23/20,10
10/24/20,12
10/25/20,89
10/26/20,25
10/27/20,14
10/28/20,10
10/29/20,10
10/30/20,10
10/31/20,13
11/1/20,100
11/2/20,36
