Day,Pitt_Steelers
9/1/20,5
9/2/20,4
9/3/20,4
9/4/20,5
9/5/20,7
9/6/20,9
9/7/20,9
9/8/20,8
9/9/20,7
9/10/20,8
9/11/20,9
9/12/20,7
9/13/20,20
9/14/20,29
9/15/20,49
9/16/20,9
9/17/20,8
9/18/20,9
9/19/20,9
9/20/20,56
9/21/20,14
9/22/20,9
9/23/20,7
9/24/20,7
9/25/20,7
9/26/20,9
9/27/20,62
9/28/20,18
9/29/20,13
9/30/20,10
10/1/20,12
10/2/20,9
10/3/20,7
10/4/20,19
10/5/20,11
10/6/20,10
10/7/20,7
10/8/20,6
10/9/20,8
10/10/20,9
10/11/20,75
10/12/20,19
10/13/20,10
10/14/20,14
10/15/20,9
10/16/20,8
10/17/20,11
10/18/20,75
10/19/20,20
10/20/20,13
10/21/20,11
10/22/20,9
10/23/20,10
10/24/20,10
10/25/20,87
10/26/20,25
10/27/20,14
10/28/20,11
10/29/20,10
10/30/20,10
10/31/20,12
11/1/20,100
11/2/20,33
11/3/20,16
