"game","release_date","release_date2","price","owners","median_playtime","metascore","price_cat","meta_cat","playtime_miss","number","developer","publisher","average_playtime","meta_cat_factor"
"Half-Life 2","Nov 16, 2004",2004-11-16,9.99,"10,000,000 .. 20,000,000",66,96,1,"Universal Acclaim",FALSE,1,"Valve","Valve",110,"Universal Acclaim"
"Counter-Strike: Source","Nov 1, 2004",2004-11-01,9.99,"10,000,000 .. 20,000,000",128,88,1,"Generally Favorable",FALSE,3,"Valve","Valve",236,"Generally Favorable"
"Counter-Strike: Condition Zero","Mar 1, 2004",2004-03-01,9.99,"10,000,000 .. 20,000,000",3,65,1,"Mixed Reviews",FALSE,21,"Valve","Valve",10,"Mixed Reviews"
"Half-Life 2: Deathmatch","Nov 1, 2004",2004-11-01,4.99,"5,000,000 .. 10,000,000",0,NA,1,NA,TRUE,47,"Valve","Valve",0,NA
"Half-Life: Source","Jun 1, 2004",2004-06-01,9.99,"2,000,000 .. 5,000,000",0,NA,1,NA,TRUE,36,"Valve","Valve",0,NA
"CS2D","Dec 24, 2004",2004-12-24,NA,"1,000,000 .. 2,000,000",10,NA,NA,NA,FALSE,52,"Unreal Software","Unreal Software",16,NA
"Unreal Tournament 2004: Editor's Choice Edition","Mar 16, 2004",2004-03-16,14.99,"500,000 .. 1,000,000",0,93,2,"Universal Acclaim",TRUE,2,"Epic Games, Inc.","Epic Games, Inc.",0,"Universal Acclaim"
"DOOM 3","Aug 3, 2004",2004-08-03,4.99,"500,000 .. 1,000,000",0,87,1,"Generally Favorable",TRUE,4,"id Software","id Software",0,"Generally Favorable"
"Beyond Divinity","Apr 27, 2004",2004-04-27,5.99,"500,000 .. 1,000,000",0,73,1,"Mixed Reviews",TRUE,14,"Larian Studios","Larian Studios",0,"Mixed Reviews"
"Hitman: Contracts","Apr 20, 2004",2004-04-20,8.99,"500,000 .. 1,000,000",0,NA,1,NA,TRUE,40,"Io-Interactive A/S","Io-Interactive A/S",0,NA
"Gish","May 4, 2004",2004-05-04,9.99,"200,000 .. 500,000",0,80,1,"Generally Favorable",TRUE,9,"Cryptic Sea","Chronic Logic",0,"Generally Favorable"
"Neighbours from Hell Compilation","Feb 20, 2004",2004-02-20,9.99,"200,000 .. 500,000",0,69,1,"Mixed Reviews",TRUE,17,"JoWooD Vienna","THQ Nordic",0,"Mixed Reviews"
"STAR WARS Battlefront (Classic, 2004)","Sep 21, 2004",2004-09-21,9.99,"200,000 .. 500,000",0,NA,1,NA,TRUE,43,"Pandemic Studios","Lucasfilm, LucasArts, Disney",0,NA
"Jagged Alliance 2 - Wildfire","Mar 8, 2004",2004-03-08,6.99,"200,000 .. 500,000",270,NA,1,NA,FALSE,49,"I-deal Games","Topware Interactive",371,NA
"Painkiller: Black Edition","Apr 12, 2004",2004-04-12,9.99,"200,000 .. 500,000",0,NA,1,NA,TRUE,53,"People Can Fly","THQ Nordic",0,NA
"Silent Storm Gold Edition","Sep 9, 2004",2004-09-09,9.99,"100,000 .. 200,000",0,83,1,"Generally Favorable",TRUE,5,"Nival","THQ Nordic",0,"Generally Favorable"
"Soldiers: Heroes of World War II","Jun 29, 2004",2004-06-29,4.99,"100,000 .. 200,000",0,77,1,"Generally Favorable",TRUE,12,"Best Way","1C Entertainment",0,"Generally Favorable"
"Sherlock Holmes: The Silver Earring","Sep 30, 2004",2004-09-30,9.99,"100,000 .. 200,000",0,68,1,"Mixed Reviews",TRUE,18,"Frogwares","Frogwares",0,"Mixed Reviews"
"World War II: Panzer Claws","Jan 14, 2004",2004-01-14,4.99,"100,000 .. 200,000",181,61,1,"Mixed Reviews",FALSE,26,NA,"Topware Interactive",250,"Mixed Reviews"
"Marine Sharpshooter II: Jungle Warfare","Jun 22, 2004",2004-06-22,2.99,"100,000 .. 200,000",0,52,1,"Mixed Reviews",TRUE,31,"Jarhead Games","Funbox Media Ltd",0,"Mixed Reviews"
"SuperPower 2 Steam Edition","Oct 11, 2004",2004-10-11,9.99,"100,000 .. 200,000",0,NA,1,NA,TRUE,34,"GolemLabs","THQ Nordic",0,NA
"Dark Fall 2: Lights Out","Aug 24, 2004",2004-08-24,4.99,"50,000 .. 100,000",0,66,1,"Mixed Reviews",TRUE,20,"Darkling Room","THQ Nordic",0,"Mixed Reviews"
"Aura: Fate of the Ages","Jun 24, 2004",2004-06-24,4.99,"50,000 .. 100,000",0,63,1,"Mixed Reviews",TRUE,24,"Streko Graphics","THQ Nordic",0,"Mixed Reviews"
"Guilty Gear X2 #Reload","Jul 23, 2004",2004-07-23,9.99,"50,000 .. 100,000",0,NA,1,NA,TRUE,39,"Arc System Works","Arc System Works",0,NA
"Platypus","Jun 2, 2004",2004-06-02,6.99,"50,000 .. 100,000",0,NA,1,NA,TRUE,42,"Idigicon","KISS ltd",0,NA
"planetarian ~the reverie of a little planet~","Nov 29, 2004",2004-11-29,9.99,"50,000 .. 100,000",0,NA,1,NA,TRUE,50,"VisualArts/Key","Sekai Project",0,NA
"Codename: Panzers, Phase One","Jun 16, 2004",2004-06-16,14.99,"20,000 .. 50,000",0,81,2,"Generally Favorable",TRUE,7,"Stormregion, THQ Nordic","THQ Nordic",0,"Generally Favorable"
"Kohan II: Kings of War","Sep 21, 2004",2004-09-21,9.99,"20,000 .. 50,000",0,81,1,"Generally Favorable",TRUE,8,"TimeGate Studios","TimeGate Studios",0,"Generally Favorable"
"Ground Control II: Operation Exodus","Jun 18, 2004",2004-06-18,4.99,"20,000 .. 50,000",0,80,1,"Generally Favorable",TRUE,10,"Massive Entertainment","Rebellion",0,"Generally Favorable"
"Perimeter","May 21, 2004",2004-05-21,3.99,"20,000 .. 50,000",0,77,1,"Generally Favorable",TRUE,11,"K-D Lab","1C Entertainment",0,"Generally Favorable"
"Warlords Battlecry III","May 17, 2004",2004-05-17,9.99,"20,000 .. 50,000",0,73,1,"Mixed Reviews",TRUE,15,"Infinite Interactive","Retroism, Enlight Software Limited",0,"Mixed Reviews"
"Men of Valor","Nov 29, 2004",2004-11-29,9.99,"20,000 .. 50,000",0,71,1,"Mixed Reviews",TRUE,16,"2015","THQ Nordic",0,"Mixed Reviews"
"Shadow Ops: Red Mercury","Sep 17, 2004",2004-09-17,6.99,"20,000 .. 50,000",0,61,1,"Mixed Reviews",TRUE,25,"Zombie Studios","Retroism",0,"Mixed Reviews"
"Wars and Warriors: Joan of Arc","Feb 7, 2004",2004-02-07,6.99,"20,000 .. 50,000",0,60,1,"Mixed Reviews",TRUE,27,"Enlight Software Limited","Retroism, Enlight Software Limited",0,"Mixed Reviews"
